model_type,train_protocol,seed,eval_profile,eval_protocol,pos_err_median_60s,pos_err_p95_60s,rot_geodesic_median_60s,max_so3_orth_error,energy_span_median_60s,max_abs_energy_delta_median_60s,completion_60s,n_traj,n_completed,train_best_loss,train_nbad,train_anomaly,rollout_collapse,rollout_diverged,source
ablate_no_lift,clean,42,clean,clean,0.5262126349582315,1.2788666178799066,0.01043214462697506,1.2313311344769318e-05,18.291797637939453,13.084726333618164,0.9777777777777777,90,88,0.004077356735554834,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_221138/clean/summary.json
ablate_no_lift,clean,43,clean,clean,44.38019951260009,74.98410676977268,0.30521607398986816,6.5035337684093975e-06,29.54552936553955,29.54552936553955,1.0,90,90,0.21689478307962418,276,1,1,1,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_222700/clean/summary.json
ablate_no_lift,clean,44,clean,clean,0.8268659015687323,2.3214094182418314,0.0140927629545331,1.2565527867991477e-05,19.969064712524414,14.318626403808594,0.9888888888888889,90,89,0.0041092952790980535,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_224227/clean/summary.json
ablate_no_lift,clean,45,clean,clean,0.5647228229451171,1.8233652181121074,0.013210788369178772,1.2233572306286078e-05,19.0185489654541,14.14552116394043,0.9888888888888889,90,89,0.004005345826347669,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_225735/clean/summary.json
ablate_no_lift,clean,46,clean,clean,1.3974035368764872,3.1914645303333975,0.03987163305282593,1.279399930353975e-05,10.892237663269043,8.060279846191406,0.9888888888888889,90,89,0.004620987533902128,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_231245/clean/summary.json
ablate_no_lift,clean,42,degraded_eval,iid_noisy_ic,1.7048691394116315,5.374619504952334,0.022496548481285572,1.207268906000536e-05,18.280017852783203,13.089040279388428,0.9777777777777777,90,88,0.004077356735554834,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_221138/degraded_eval/summary.json
ablate_no_lift,clean,43,degraded_eval,iid_noisy_ic,44.44839446822746,74.09033540634557,0.3122927248477936,5.887081897526514e-06,29.548646926879883,29.548646926879883,1.0,90,90,0.21689478307962418,276,1,1,1,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_222700/degraded_eval/summary.json
ablate_no_lift,clean,44,degraded_eval,iid_noisy_ic,1.9162155529906182,5.567524100747956,0.02578270435333252,1.179081664304249e-05,19.94586181640625,14.41279411315918,0.9888888888888889,90,89,0.0041092952790980535,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_224227/degraded_eval/summary.json
ablate_no_lift,clean,45,degraded_eval,iid_noisy_ic,1.6253204536704406,5.432439691285489,0.023951252922415733,1.2133964446547907e-05,18.99884033203125,14.393759727478027,0.9888888888888889,90,89,0.004005345826347669,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_225735/degraded_eval/summary.json
ablate_no_lift,clean,46,degraded_eval,iid_noisy_ic,1.8378715569089692,7.666797824910079,0.039010003209114075,1.2830639207095373e-05,10.891658782958984,8.111907005310059,0.9888888888888889,90,89,0.004620987533902128,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_231245/degraded_eval/summary.json
ablate_no_lift,clean,42,heading_biased_eval,iid_noisy_ic,3.045595035307425,4.8034903306648955,0.03776755556464195,1.3183560440666042e-05,18.290904998779297,13.07477617263794,0.9777777777777777,90,88,0.004077356735554834,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_221138/heading_biased_eval/summary.json
ablate_no_lift,clean,43,heading_biased_eval,iid_noisy_ic,45.20507469895623,73.86657326235854,0.31519486010074615,5.686300028173719e-06,29.54597759246826,29.54597759246826,1.0,90,90,0.21689478307962418,276,1,1,1,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_222700/heading_biased_eval/summary.json
ablate_no_lift,clean,44,heading_biased_eval,iid_noisy_ic,3.0710780214299533,5.578051556466067,0.04044470936059952,1.4425840163312387e-05,19.966033935546875,14.281072616577148,0.9888888888888889,90,89,0.0041092952790980535,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_224227/heading_biased_eval/summary.json
ablate_no_lift,clean,45,heading_biased_eval,iid_noisy_ic,2.908703205536401,4.974723280899265,0.03445928171277046,1.319281909673009e-05,19.015506744384766,14.219104766845703,0.9888888888888889,90,89,0.004005345826347669,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_225735/heading_biased_eval/summary.json
ablate_no_lift,clean,46,heading_biased_eval,iid_noisy_ic,3.2390935522701154,5.772630371092303,0.050499409437179565,1.1585619176912587e-05,10.891020774841309,8.056038856506348,0.9888888888888889,90,89,0.004620987533902128,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_231245/heading_biased_eval/summary.json
ablate_no_lift,clean,42,nominal_eval,iid_noisy_ic,0.8114157550336458,2.583290130970874,0.014169385191053152,1.3624588973470964e-05,18.28619956970215,13.085790157318115,0.9777777777777777,90,88,0.004077356735554834,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_221138/nominal_eval/summary.json
ablate_no_lift,clean,43,nominal_eval,iid_noisy_ic,44.4951733302112,74.65659964676136,0.30224376916885376,5.311894256010419e-06,29.56760025024414,29.56760025024414,1.0,90,90,0.21689478307962418,276,1,1,1,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_222700/nominal_eval/summary.json
ablate_no_lift,clean,44,nominal_eval,iid_noisy_ic,1.02083849923686,2.885819892505159,0.014874693937599659,1.2912662896269467e-05,19.957778930664062,14.278205871582031,0.9888888888888889,90,89,0.0041092952790980535,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_224227/nominal_eval/summary.json
ablate_no_lift,clean,45,nominal_eval,iid_noisy_ic,0.8608719619528203,2.5784860332049253,0.016157785430550575,1.2794285794370808e-05,19.008983612060547,14.222452163696289,0.9888888888888889,90,89,0.004005345826347669,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_225735/nominal_eval/summary.json
ablate_no_lift,clean,46,nominal_eval,iid_noisy_ic,1.510207606323737,4.6292861906800225,0.039480939507484436,1.2050453733536415e-05,10.892004013061523,8.069127082824707,0.9888888888888889,90,89,0.004620987533902128,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_231245/nominal_eval/summary.json
ablate_no_lift,clean,42,nominal_eval,v4_lite,0.7324132383223091,2.039898150734049,0.012034990824759007,1.4835646652500145e-05,18.299482345581055,13.050471782684326,0.9777777777777777,90,88,0.004077356735554834,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_020037/summary.json
ablate_no_lift,clean,43,nominal_eval,v4_lite,44.39299257784676,74.78252639466699,0.3062148988246918,5.7401880440011155e-06,29.514055252075195,29.47371006011963,1.0,90,90,0.21689478307962418,276,1,1,1,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_020159/summary.json
ablate_no_lift,clean,44,nominal_eval,v4_lite,1.011842607190174,2.6262690017112855,0.01625341735780239,1.2213527952553704e-05,19.980728149414062,14.372118949890137,0.9888888888888889,90,89,0.0041092952790980535,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_020320/summary.json
ablate_no_lift,clean,45,nominal_eval,v4_lite,0.7747318215679097,2.2747801517485846,0.013469940051436424,1.2153630450484343e-05,19.029075622558594,14.133161544799805,0.9888888888888889,90,89,0.004005345826347669,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_020441/summary.json
ablate_no_lift,clean,46,nominal_eval,v4_lite,1.4920448456052808,3.777371843134369,0.038244448602199554,1.3605146705231164e-05,10.89240837097168,8.076456069946289,0.9888888888888889,90,89,0.004620987533902128,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_clean_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_v4eval_traj30_seed42_20260524_020602/summary.json
ablate_no_lift,iid,42,clean,clean,0.889951664375541,3.580323735783394,0.016789748333394527,1.1423190699133556e-05,12.927498817443848,9.200729370117188,0.9777777777777777,90,88,0.0067101153545081615,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_232803/clean/summary.json
ablate_no_lift,iid,43,clean,clean,0.7455672725285193,2.2846406745076604,0.01325959526002407,1.4016635759617202e-05,15.962712287902832,11.597720623016357,0.9777777777777777,90,88,0.0062942008177439375,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_234306/clean/summary.json
ablate_no_lift,iid,44,clean,clean,0.6617583613955855,1.954488946926743,0.013834963086992502,1.4077232663112227e-05,22.068506240844727,16.526753425598145,0.9777777777777777,90,88,0.006263049707437555,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_235813/clean/summary.json
ablate_no_lift,iid,45,clean,clean,0.8925166306572748,2.599621875730421,0.01487443270161748,1.3020491678616963e-05,16.560802459716797,12.091613292694092,0.9777777777777777,90,88,0.006253675790503621,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_001317/clean/summary.json
ablate_no_lift,iid,46,clean,clean,0.9556685873696787,3.2907109284326346,0.01773812621831894,1.0664648470992688e-05,11.381858348846436,8.33964729309082,1.0,90,90,0.00663550818959872,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_002846/clean/summary.json
ablate_no_lift,iid,42,degraded_eval,iid_noisy_ic,1.857233264604766,5.616448779736503,0.028667577542364597,1.1347658983140718e-05,12.922391414642334,9.362079620361328,0.9777777777777777,90,88,0.0067101153545081615,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_232803/degraded_eval/summary.json
ablate_no_lift,iid,43,degraded_eval,iid_noisy_ic,1.7997457167751436,5.860428935200083,0.02481606137007475,1.1625154911598656e-05,15.96131420135498,11.47273588180542,0.9777777777777777,90,88,0.0062942008177439375,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_234306/degraded_eval/summary.json
ablate_no_lift,iid,44,degraded_eval,iid_noisy_ic,1.8026580405185237,5.728831360584934,0.023410895839333534,1.261099532712251e-05,22.06862449645996,16.537445068359375,0.9777777777777777,90,88,0.006263049707437555,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_235813/degraded_eval/summary.json
ablate_no_lift,iid,45,degraded_eval,iid_noisy_ic,1.7913997524176901,5.798564884236335,0.026408443227410316,1.2302171853662003e-05,16.5550594329834,12.211177825927734,0.9777777777777777,90,88,0.006253675790503621,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_001317/degraded_eval/summary.json
ablate_no_lift,iid,46,degraded_eval,iid_noisy_ic,2.056999354009042,5.660893003053693,0.02982026059180498,1.0770912012958433e-05,11.376405239105225,8.28537654876709,1.0,90,90,0.00663550818959872,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_002846/degraded_eval/summary.json
ablate_no_lift,iid,42,heading_biased_eval,iid_noisy_ic,3.2878461832518386,5.999418079683474,0.04730094224214554,1.051082927006064e-05,12.927605152130127,9.239572525024414,0.9777777777777777,90,88,0.0067101153545081615,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_232803/heading_biased_eval/summary.json
ablate_no_lift,iid,43,heading_biased_eval,iid_noisy_ic,3.0374310164384735,5.174671577008585,0.03753303363919258,1.1952215572819114e-05,15.96611213684082,11.534939765930176,0.9777777777777777,90,88,0.0062942008177439375,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_234306/heading_biased_eval/summary.json
ablate_no_lift,iid,44,heading_biased_eval,iid_noisy_ic,3.1774641250852382,5.170546229066031,0.036709828302264214,1.2293532563489862e-05,22.06243896484375,16.52774715423584,0.9777777777777777,90,88,0.006263049707437555,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed44/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_235813/heading_biased_eval/summary.json
ablate_no_lift,iid,45,heading_biased_eval,iid_noisy_ic,3.2663321384198927,5.1922398218409,0.044811369851231575,1.2597407476278022e-05,16.562063217163086,12.095734596252441,0.9777777777777777,90,88,0.006253675790503621,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed45/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_001317/heading_biased_eval/summary.json
ablate_no_lift,iid,46,heading_biased_eval,iid_noisy_ic,3.064322220944836,5.563790900212121,0.03960860148072243,1.1803004781540949e-05,11.380638122558594,8.307662963867188,1.0,90,90,0.00663550818959872,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed46/rollout_benchmark/phase1a_iideval_traj30_seed42_20260524_002846/heading_biased_eval/summary.json
ablate_no_lift,iid,42,nominal_eval,iid_noisy_ic,1.0937964679890846,3.796147401839839,0.017788552679121494,1.2170435184089001e-05,12.925041198730469,9.245734691619873,0.9777777777777777,90,88,0.0067101153545081615,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed42/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_232803/nominal_eval/summary.json
ablate_no_lift,iid,43,nominal_eval,iid_noisy_ic,0.9869573503107107,3.0325537031483045,0.015821336768567562,1.3391680113272741e-05,15.96181344985962,11.534629344940186,0.9777777777777777,90,88,0.0062942008177439375,0,0,0,0,checkpoints/sweep_oc_phase1a_decision_iid_t2_wpfrag_ablate_no_lift/ablation_ablate_no_lift_seed43/rollout_benchmark/phase1a_iideval_traj30_seed42_20260523_234306/nominal_eval/summary.json
