model_type,train_protocol,eval_profile,eval_protocol,scope,horizon_s,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,completion_mean,excluded_seeds,diverged_seeds
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,CHIRP,30.0,5,1,0,4,0.4129,0.4008,0.3832,0.4667,1.0073,0.9983,1.0889,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,CHIRP,60.0,5,1,0,4,0.98,1.0141,0.7774,1.1146,2.27,2.1064,2.9301,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,OU,10.0,5,1,0,4,0.1676,0.153,0.1336,0.2306,0.4532,0.4308,0.5635,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,OU,30.0,5,1,0,4,0.4981,0.4965,0.3819,0.6175,1.5237,1.4817,2.0232,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,OU,60.0,5,1,0,4,1.1929,1.0899,0.8851,1.7068,3.7618,3.32,5.5646,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,PRBS,10.0,5,1,0,4,0.1509,0.1459,0.1242,0.1878,0.4041,0.3875,0.476,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,PRBS,30.0,5,1,0,4,0.4431,0.4244,0.3632,0.5603,1.2827,1.1783,1.6419,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,PRBS,60.0,5,1,0,4,0.9614,0.8061,0.6843,1.549,3.051,2.6316,4.3668,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,overall,10.0,5,1,0,4,0.152,0.1422,0.1245,0.1992,0.4278,0.4035,0.5208,,43,
ablate_no_lift,clean,nominal_eval,iid_noisy_ic,overall,30.0,5,1,0,4,0.4442,0.4243,0.3797,0.5488,1.3285,1.1694,1.867,,43,
