mirror,model_type,train_type,eval_profile,seed,pos_err_median_60s,pos_err_p95_60s,anomaly_class,rollout_run_id
g3_5_5,se3_accel_blackbox,noisy_train,clean,43,3.8452310860386176,11.444059915449746,ok,resampled_traj30_seed42_20260409_205410
g3_5_5,se3_accel_blackbox,noisy_train,clean,44,5.704362083354877,27.690730706088917,ok,resampled_traj30_seed42_20260409_210755
g3_5_5,se3_accel_blackbox,noisy_train,clean,45,6.817306019713156,29.42769982816135,ok,resampled_traj30_seed42_20260409_212152
g3_5_5,se3_accel_blackbox,noisy_train,nominal_eval,43,3.7266281749050343,11.81464971306162,ok,resampled_traj30_seed42_20260409_205410
g3_5_5,se3_accel_blackbox,noisy_train,nominal_eval,44,5.9006597194965575,27.81717645638592,ok,resampled_traj30_seed42_20260409_210755
g3_5_5,se3_accel_blackbox,noisy_train,nominal_eval,45,7.213619366952423,29.224524224514617,ok,resampled_traj30_seed42_20260409_212152
g3_5_5,se3_accel_blackbox,noisy_train,degraded_eval,43,4.071451750303686,12.251769168082054,ok,resampled_traj30_seed42_20260409_205410
g3_5_5,se3_accel_blackbox,noisy_train,degraded_eval,44,6.67319833174658,28.540843381163302,ok,resampled_traj30_seed42_20260409_210755
g3_5_5,se3_accel_blackbox,noisy_train,degraded_eval,45,7.4620682656307515,28.91975030480412,ok,resampled_traj30_seed42_20260409_212152
g3_5_5,se3_accel_blackbox,noisy_train,heading_biased_eval,43,4.3502252252064375,13.980690211863083,ok,resampled_traj30_seed42_20260409_205410
g3_5_5,se3_accel_blackbox,noisy_train,heading_biased_eval,44,6.330729092769073,27.44215895556287,ok,resampled_traj30_seed42_20260409_210755
g3_5_5,se3_accel_blackbox,noisy_train,heading_biased_eval,45,7.2204443578393755,28.794199239865115,ok,resampled_traj30_seed42_20260409_212152
