scope,n,includes_seed43,mean_of_seed_medians,median_of_seed_medians,min,max,seed43_value,seed43_train_nbad
all_5_seeds,5,yes,9.5391,0.8269,0.5262,44.3802,44.3802,276
stable_cluster_excl_seed43,4,no,0.8288,0.6958,0.5262,1.3974,,
