model_type,train_protocol,eval_profile,eval_protocol,n_seeds_total,n_anomaly_excluded,n_rollout_diverged,n_seeds_used,posmed_mean_of_seed_medians,posmed_median_of_seed_medians,posmed_min,posmed_max,posp95_mean_of_seed_p95s,posp95_median_of_seed_p95s,posp95_max,worst_seed,completion_mean,n_rollout_collapsed_all_seeds,excluded_seeds,excluded_seed_posmed,diverged_seeds,diverged_seed_posmed,diverged_completion
blackbox_fullstate,clean,nominal_eval,iid_noisy_ic,5,0,5,0,,,,,,,,,,3,,,42;43;44;45;46,85.4165;89.0404;nan;82.0806;nan,0.5667;0.8667;0.0000;0.2667;0.0000
blackbox_fullstate,clean,nominal_eval,v4_lite,5,0,5,0,,,,,,,,,,3,,,42;43;44;45;46,87.2561;88.8856;nan;83.0414;nan,0.5778;0.8667;0.0000;0.2778;0.0000
phnode_full,clean,clean,clean,5,0,0,5,0.6767,0.611,0.4316,1.2059,1.7741,1.5138,3.0668,44,0.9911,0,,,,,
phnode_full,clean,degraded_eval,iid_noisy_ic,5,0,0,5,1.7574,1.6819,1.5754,2.2098,5.5031,5.5628,5.7093,44,0.9889,0,,,,,
phnode_full,clean,heading_biased_eval,iid_noisy_ic,5,0,0,5,3.1257,3.1194,3.054,3.2241,5.0895,4.8815,5.9306,44,0.9889,0,,,,,
phnode_full,clean,nominal_eval,iid_noisy_ic,5,0,0,5,0.9604,0.8203,0.8095,1.4469,2.864,2.6622,3.7588,44,0.9911,0,,,,,
phnode_full,clean,nominal_eval,v4_lite,5,0,0,5,0.8439,0.6888,0.6618,1.3284,2.1544,1.9741,3.087,44,0.9911,0,,,,,
phnode_full,iid,clean,clean,5,0,0,5,0.8914,0.9082,0.6398,1.0811,2.5507,2.4124,2.9875,42,0.9822,0,,,,,
phnode_full,iid,degraded_eval,iid_noisy_ic,5,0,0,5,1.8229,1.842,1.5464,2.0343,5.5532,5.3307,6.501,46,0.9822,0,,,,,
phnode_full,iid,heading_biased_eval,iid_noisy_ic,5,0,0,5,2.9425,2.976,2.699,3.1512,5.5909,5.6179,5.8743,42,0.9822,0,,,,,
phnode_full,iid,nominal_eval,iid_noisy_ic,5,0,0,5,1.0934,1.0639,0.9545,1.2572,3.2639,3.274,4.2947,46,0.9822,0,,,,,
phnode_full,iid,nominal_eval,v4_lite,5,0,0,5,1.0317,0.9797,0.8194,1.3471,2.9404,2.9624,3.5008,42,0.9844,0,,,,,
phnode_full,v4lite,clean,clean,5,0,0,5,0.9566,0.8656,0.8202,1.146,2.413,2.3593,2.9036,46,0.98,0,,,,,
phnode_full,v4lite,degraded_eval,iid_noisy_ic,5,0,0,5,1.7019,1.735,1.5251,1.8949,6.0497,6.2856,6.6676,45,0.9822,0,,,,,
phnode_full,v4lite,heading_biased_eval,iid_noisy_ic,5,0,0,5,3.1574,3.16,3.0172,3.2633,5.5628,5.4873,5.9536,46,0.9822,0,,,,,
phnode_full,v4lite,nominal_eval,iid_noisy_ic,5,0,0,5,1.1116,1.08,0.9868,1.3948,3.3398,3.3526,3.7178,45,0.9822,0,,,,,
phnode_full,v4lite,nominal_eval,v4_lite,5,0,0,5,1.1148,1.0878,0.9436,1.289,2.9198,2.9396,3.463,46,0.9822,0,,,,,
phnode_qforce,clean,clean,clean,5,0,0,5,3.7564,4.1847,2.0094,4.4898,11.2481,13.0065,13.7325,44,0.9889,0,,,,,
phnode_qforce,clean,degraded_eval,iid_noisy_ic,5,0,0,5,4.002,4.262,2.2881,4.9184,10.9753,11.688,12.524,44,0.9889,0,,,,,
phnode_qforce,clean,heading_biased_eval,iid_noisy_ic,5,0,0,5,4.6263,4.9195,3.5478,5.3402,11.5876,11.9224,13.7938,44,0.9889,0,,,,,
phnode_qforce,clean,nominal_eval,iid_noisy_ic,5,0,0,5,3.7428,3.8662,2.1229,4.5254,11.0504,12.3686,13.2095,44,0.9889,0,,,,,
phnode_qforce,clean,nominal_eval,v4_lite,5,0,0,5,3.7665,4.055,2.0899,4.7294,11.3754,12.9236,13.9023,44,0.9889,0,,,,,
phnode_qforce,iid,clean,clean,5,0,0,5,2.4713,3.2096,0.6094,3.9987,8.3159,11.1396,13.1165,46,0.9867,0,,,,,
phnode_qforce,iid,degraded_eval,iid_noisy_ic,5,0,0,5,3.2745,3.9463,1.6872,4.5016,9.226,10.0109,13.5955,46,0.9867,0,,,,,
phnode_qforce,iid,heading_biased_eval,iid_noisy_ic,5,0,0,5,4.2,4.5712,3.0829,5.152,9.6852,11.5673,13.8758,46,0.9867,0,,,,,
phnode_qforce,iid,nominal_eval,iid_noisy_ic,5,0,0,5,2.6336,3.158,0.8961,4.1773,8.1474,10.2668,13.4162,46,0.9867,0,,,,,
phnode_qforce,iid,nominal_eval,v4_lite,5,0,0,5,2.7132,3.4072,0.9331,4.305,8.4005,11.2378,12.8699,46,0.9867,0,,,,,
phnode_qforce,v4lite,clean,clean,5,0,0,5,1.3551,0.6841,0.6352,3.8526,4.5924,2.5317,13.0489,43,0.9889,0,,,,,
phnode_qforce,v4lite,degraded_eval,iid_noisy_ic,5,0,0,5,2.2262,1.7069,1.5999,4.2637,7.2183,5.9926,12.3726,43,0.9889,0,,,,,
phnode_qforce,v4lite,heading_biased_eval,iid_noisy_ic,5,0,0,5,3.5217,3.1992,3.1821,4.7689,6.9027,5.4952,13.483,43,0.9889,0,,,,,
phnode_qforce,v4lite,nominal_eval,iid_noisy_ic,5,0,0,5,1.5932,1.0181,0.9182,3.9512,5.2577,3.4783,13.0613,43,0.9889,0,,,,,
phnode_qforce,v4lite,nominal_eval,v4_lite,5,0,0,5,1.5984,1.0287,0.8173,4.0088,4.9167,3.0171,13.0024,43,0.9889,0,,,,,
se3_accel_blackbox,clean,clean,clean,5,0,0,5,2.4555,1.6387,0.9625,5.6333,9.0362,5.6326,25.8959,42,0.9844,0,,,,,
se3_accel_blackbox,clean,degraded_eval,iid_noisy_ic,5,0,0,5,3.2001,2.5517,1.9275,6.1369,11.3202,8.4542,25.9726,42,0.9844,0,,,,,
se3_accel_blackbox,clean,heading_biased_eval,iid_noisy_ic,5,0,0,5,3.8279,3.1257,2.9705,6.4674,10.7638,8.3918,25.0173,42,0.9844,0,,,,,
se3_accel_blackbox,clean,nominal_eval,iid_noisy_ic,5,0,0,5,2.6209,1.8613,1.2548,5.5226,9.7402,6.1123,26.744,42,0.9844,0,,,,,
se3_accel_blackbox,clean,nominal_eval,v4_lite,5,0,0,5,2.5013,1.7269,1.2138,5.4155,9.5033,6.4719,26.4197,42,0.9844,0,,,,,
se3_momentum_blackbox,clean,clean,clean,5,0,0,5,1.4879,1.4476,0.9181,1.95,3.858,3.4298,4.935,45,0.9867,0,,,,,
se3_momentum_blackbox,clean,degraded_eval,iid_noisy_ic,5,0,0,5,2.1252,2.085,1.9426,2.3468,6.4962,6.6028,7.5369,45,0.9867,0,,,,,
se3_momentum_blackbox,clean,heading_biased_eval,iid_noisy_ic,5,0,0,5,3.0026,3.0551,2.6861,3.1442,6.6618,6.7329,7.3588,42,0.9867,0,,,,,
se3_momentum_blackbox,clean,nominal_eval,iid_noisy_ic,5,0,0,5,1.6172,1.487,1.2722,1.9826,4.713,4.4625,5.6701,45,0.9867,0,,,,,
se3_momentum_blackbox,clean,nominal_eval,v4_lite,5,0,0,5,1.579,1.3432,1.0363,2.1134,4.317,4.1315,5.5709,44,0.9867,0,,,,,
