path,size_bytes,under_rollout_benchmark,referenced_by_tracked_doc,action,reason
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed42/rollout_benchmark/resampled_traj30_seed42_20260405_033452/terminal_error_boxplots.png,95084,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/high_terminal_error_PRBS_seed66.png,494926,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/rollout_failure_PRBS_seed42.png,450900,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/rollout_failure_PRBS_seed65.png,468287,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/rollout_failure_PRBS_seed69.png,446133,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/rollout_failure_PRBS_seed71.png,495959,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/diagnostic_plots/velocity_violation_OU_seed200061.png,539875,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/error_growth.png,571308,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/example_rollouts.png,830236,1,0,purge,regenerable from the CSV/JSON beside it
checkpoints/sweep_oc_all/sweep_oc_ablation_default_auv_oc_traj1000_blk150_s23_d0be9434_s42-43-44_20260404_143830/ablation_ablate_bu_only_seed43/rollout_benchmark/resampled_traj30_seed42_20260405_033737/terminal_error_boxplots.png,92232,1,0,purge,regenerable from the CSV/JSON beside it
